,start,end,technique,text,full_text,id,start_new,end_new
262,0,109,Appeal to fear/prejudice,إثيوبيا تقول إن العقوبات التي فرضتها واشنطن بسبب الفظائع في إقليم تيغراي لن تردعها وترفض التدخل في شؤونها,إثيوبيا تقول إن العقوبات التي فرضتها واشنطن بسبب الفظائع في إقليم تيغراي لن تردعها وترفض التدخل في شؤونها,7089,0.0,105.0
263,6,19,Exaggeration/Minimisation,أبكت الملايين,صورهم أبكت الملايين ظروف قاسية يعيشها أطفال مغاربة بمراكز الاحتجاز في سبتة الخاضعة لسيطرة إسبانيا,7090,6.0,19.0
264,6,19,Loaded Language,أبكت الملايين,صورهم أبكت الملايين ظروف قاسية يعيشها أطفال مغاربة بمراكز الاحتجاز في سبتة الخاضعة لسيطرة إسبانيا,7090,6.0,19.0
265,22,33,Loaded Language,ظروف قاسية,صورهم أبكت الملايين ظروف قاسية يعيشها أطفال مغاربة بمراكز الاحتجاز في سبتة الخاضعة لسيطرة إسبانيا,7090,20.0,30.0
266,60,68,Loaded Language,الاحتجاز,صورهم أبكت الملايين ظروف قاسية يعيشها أطفال مغاربة بمراكز الاحتجاز في سبتة الخاضعة لسيطرة إسبانيا,7090,58.0,66.0
267,0,116,Glittering generalities (Virtue),عاجل البيت الأبيض بايدن في اتصال مع السيسي يشكر مصر على الدبلوماسية الناجحة لإنهاء المواجهات بين إسرائيل وغزة,عاجل البيت الأبيض بايدن في اتصال مع السيسي يشكر مصر على الدبلوماسية الناجحة لإنهاء المواجهات بين إسرائيل وغزة,7091,0.0,109.0
268,0,176,Doubt,أسوشييتد برس قالت إن صحفيا من غزة أكدوا أن حساباتهم على تطبيق واتساب جرى حظرها منذ الجمعة الماضية ما يزيد الشكوك حول استهداف التطبيق وشركة فيسبوك المالكة له للفلسطينيين,أسوشييتد برس قالت إن صحفيا من غزة أكدوا أن حساباتهم على تطبيق واتساب جرى حظرها منذ الجمعة الماضية ما يزيد الشكوك حول استهداف التطبيق وشركة فيسبوك المالكة له للفلسطينيين,7092,0.0,168.0
269,0,176,Appeal to authority,أسوشييتد برس قالت إن صحفيا من غزة أكدوا أن حساباتهم على تطبيق واتساب جرى حظرها منذ الجمعة الماضية ما يزيد الشكوك حول استهداف التطبيق وشركة فيسبوك المالكة له للفلسطينيين,أسوشييتد برس قالت إن صحفيا من غزة أكدوا أن حساباتهم على تطبيق واتساب جرى حظرها منذ الجمعة الماضية ما يزيد الشكوك حول استهداف التطبيق وشركة فيسبوك المالكة له للفلسطينيين,7092,0.0,168.0
270,44,107,Appeal to fear/prejudice,سيطرة مجموعة صغيرة من الدول على اللقاحات المضادة لفيروس كورونا,مدير عام منظمة الصحة العالمية يعرب عن أسفه لسيطرة مجموعة صغيرة من الدول على اللقاحات المضادة لفيروس كورونا,7093,44.0,106.0
271,59,72,Exaggeration/Minimisation,نجاحا كبيرا,شركة أريس التركية المتخصصة في صناعة الزوارق البحرية تحقق نجاحا كبيرا باجتياز زورقها محلي الصنع المخصص لقوات خفر السواحل الاختبارات الأولى بنجاح استعدادا لحماية مياه الوطن الأزرق,7094,57.0,68.0
272,174,186,Slogans,الوطن الأزرق,شركة أريس التركية المتخصصة في صناعة الزوارق البحرية تحقق نجاحا كبيرا باجتياز زورقها محلي الصنع المخصص لقوات خفر السواحل الاختبارات الأولى بنجاح استعدادا لحماية مياه الوطن الأزرق,7094,165.0,177.0
273,0,188,Glittering generalities (Virtue),شركة أريس التركية المتخصصة في صناعة الزوارق البحرية تحقق نجاحا كبيرا باجتياز زورقها محلي الصنع المخصص لقوات خفر السواحل الاختبارات الأولى بنجاح استعدادا لحماية مياه الوطن الأزرق,شركة أريس التركية المتخصصة في صناعة الزوارق البحرية تحقق نجاحا كبيرا باجتياز زورقها محلي الصنع المخصص لقوات خفر السواحل الاختبارات الأولى بنجاح استعدادا لحماية مياه الوطن الأزرق,7094,0.0,177.0
274,174,186,Name calling/Labeling,الوطن الأزرق,شركة أريس التركية المتخصصة في صناعة الزوارق البحرية تحقق نجاحا كبيرا باجتياز زورقها محلي الصنع المخصص لقوات خفر السواحل الاختبارات الأولى بنجاح استعدادا لحماية مياه الوطن الأزرق,7094,165.0,177.0
275,0,0,no technique,,مجلس العشائر والقبائل السورية يجدد رفضه مشروعات التغير الديموغرافي والانفصال في سوريا,7095,0.0,0.0
276,11,17,Loaded Language,معاقبة,الغرب يريد معاقبة روسيا على حادثة رحلة في مينسك,7096,11.0,17.0
277,10,14,Loaded Language,مقتل,مراسلتنا مقتل شاب فلسطيني في رام الله برصاص قوات خاصة إسرائيلية,7097,9.0,13.0
278,0,64,Appeal to authority,مراسلتنا مقتل شاب فلسطيني في رام الله برصاص قوات خاصة إسرائيلية,مراسلتنا مقتل شاب فلسطيني في رام الله برصاص قوات خاصة إسرائيلية,7097,0.0,63.0
279,40,46,Loaded Language,محاسبة,ديمقراطي يوقعون رسالة تحث بايدن على محاسبة إسرائيل وحماية الفلسطينيين,7098,36.0,42.0
280,56,61,Loaded Language,حماية,ديمقراطي يوقعون رسالة تحث بايدن على محاسبة إسرائيل وحماية الفلسطينيين,7098,52.0,57.0
281,17,21,Loaded Language,تحتل,الولايات المتحدة تحتل غرينلاند وتهدد روسيا في القطب الشمالي,7099,17.0,21.0
282,0,59,Appeal to fear/prejudice,الولايات المتحدة تحتل غرينلاند وتهدد روسيا في القطب الشمالي,الولايات المتحدة تحتل غرينلاند وتهدد روسيا في القطب الشمالي,7099,0.0,59.0
283,0,30,Smears,الولايات المتحدة تحتل غرينلاند,الولايات المتحدة تحتل غرينلاند وتهدد روسيا في القطب الشمالي,7099,0.0,30.0
284,89,99,Name calling/Labeling,تأكيد إلهي,هل تعتقد أمريكا أنها تستطيع النجاة اذا انتقلوا الى غرينلاند قبل انفجار يلوستون هل لديهم تأكيد إلهي او علمي بأن غرينلاند آمنة البداية الصفرية غير متاحة للأسف,7100,88.0,98.0
285,0,78,Doubt,هل تعتقد أمريكا أنها تستطيع النجاة اذا انتقلوا الى غرينلاند قبل انفجار يلوستون,هل تعتقد أمريكا أنها تستطيع النجاة اذا انتقلوا الى غرينلاند قبل انفجار يلوستون هل لديهم تأكيد إلهي او علمي بأن غرينلاند آمنة البداية الصفرية غير متاحة للأسف,7100,0.0,78.0
286,127,158,Thought-terminating cliché,البداية الصفرية غير متاحة للأسف,هل تعتقد أمريكا أنها تستطيع النجاة اذا انتقلوا الى غرينلاند قبل انفجار يلوستون هل لديهم تأكيد إلهي او علمي بأن غرينلاند آمنة البداية الصفرية غير متاحة للأسف,7100,125.0,156.0
287,0,158,Appeal to fear/prejudice,هل تعتقد أمريكا أنها تستطيع النجاة اذا انتقلوا الى غرينلاند قبل انفجار يلوستون هل لديهم تأكيد إلهي او علمي بأن غرينلاند آمنة البداية الصفرية غير متاحة للأسف,هل تعتقد أمريكا أنها تستطيع النجاة اذا انتقلوا الى غرينلاند قبل انفجار يلوستون هل لديهم تأكيد إلهي او علمي بأن غرينلاند آمنة البداية الصفرية غير متاحة للأسف,7100,0.0,156.0
288,0,0,no technique,,روسيا ترحب بتمديد الاتفاق بين إيران والوكالة الدولية للطاقة الذرية,7101,0.0,0.0
289,0,87,Appeal to authority,موسكو البنتاغون تجاوز الحد المسموح به من الأسلحة الهجومية الاستراتيجية بمقدار قطعة,موسكو البنتاغون تجاوز الحد المسموح به من الأسلحة الهجومية الاستراتيجية بمقدار قطعة,7102,0.0,82.0
290,7,87,Smears,البنتاغون تجاوز الحد المسموح به من الأسلحة الهجومية الاستراتيجية بمقدار قطعة,موسكو البنتاغون تجاوز الحد المسموح به من الأسلحة الهجومية الاستراتيجية بمقدار قطعة,7102,6.0,82.0
291,0,0,no technique,,الخارجية الروسية تستدعي سفير كولومبيا بعد تصريحات وزير دفاعها عن هجمات إلكترونية,7103,0.0,0.0
292,27,34,Loaded Language,اقتحامه,بعد أشهر من وجودهم فيه بعد اقتحامه من أنصار ترامب عناصر الحرس الوطني الأمريكي يستعدون لمغادرة مبنى الكابيتول,7104,27.0,34.0
293,71,77,Loaded Language,اقتحام,قوات الاحتلال الإسرائيلي تعتدي على المصلين في المسجد الأقصى تزامنا مع اقتحام مستوطنين باحاته وسط إدانات واسعة,7105,70.0,76.0
294,0,24,Name calling/Labeling,قوات الاحتلال الإسرائيلي,قوات الاحتلال الإسرائيلي تعتدي على المصلين في المسجد الأقصى تزامنا مع اقتحام مستوطنين باحاته وسط إدانات واسعة,7105,0.0,24.0
295,25,59,Loaded Language,تعتدي على المصلين في المسجد الأقصى,قوات الاحتلال الإسرائيلي تعتدي على المصلين في المسجد الأقصى تزامنا مع اقتحام مستوطنين باحاته وسط إدانات واسعة,7105,25.0,59.0
296,98,110,Name calling/Labeling,إدانات واسعة,قوات الاحتلال الإسرائيلي تعتدي على المصلين في المسجد الأقصى تزامنا مع اقتحام مستوطنين باحاته وسط إدانات واسعة,7105,97.0,109.0
297,20,24,Loaded Language,تحرش,كاميرات مراقبة تظهر تحرش عناصر الشرطة الإسرائيلية بشاب فلسطيني من دون سبب والاعتداء عليه في أثناء اعتقالها شابا آخر,7106,20.0,24.0
298,76,84,Loaded Language,الاعتداء,كاميرات مراقبة تظهر تحرش عناصر الشرطة الإسرائيلية بشاب فلسطيني من دون سبب والاعتداء عليه في أثناء اعتقالها شابا آخر,7106,75.0,83.0
299,63,69,Loaded Language,بكارثة,تلوث كبرى البحيرات الصناعية في لبنان يدق ناقوس الخطر وينذر بكارثة بيئية,7107,59.0,65.0
300,40,75,Exaggeration/Minimisation,يدق ناقوس الخطر وينذر بكارثة بيئية,تلوث كبرى البحيرات الصناعية في لبنان يدق ناقوس الخطر وينذر بكارثة بيئية,7107,37.0,71.0
301,40,75,Appeal to fear/prejudice,يدق ناقوس الخطر وينذر بكارثة بيئية,تلوث كبرى البحيرات الصناعية في لبنان يدق ناقوس الخطر وينذر بكارثة بيئية,7107,37.0,71.0
302,45,56,Loaded Language,ناقوس الخطر,تلوث كبرى البحيرات الصناعية في لبنان يدق ناقوس الخطر وينذر بكارثة بيئية,7107,41.0,52.0
303,45,56,Name calling/Labeling,ناقوس الخطر,تلوث كبرى البحيرات الصناعية في لبنان يدق ناقوس الخطر وينذر بكارثة بيئية,7107,41.0,52.0
304,40,56,Thought-terminating cliché,يدق ناقوس الخطر,تلوث كبرى البحيرات الصناعية في لبنان يدق ناقوس الخطر وينذر بكارثة بيئية,7107,37.0,52.0
305,78,85,Loaded Language,تنديدا,أطفال فلسطينيون يقفون فوق ركام منزل عائلة أبو حطب في قطاع غزة ويشعلون الشموع تنديدا بالمجزرة التي ارتكبتها إسرائيل بقتل من أفراد العائلة بينهم أطفال خلال الغارات الجوية على غزة,7108,77.0,83.0
306,161,168,Loaded Language,الغارات,أطفال فلسطينيون يقفون فوق ركام منزل عائلة أبو حطب في قطاع غزة ويشعلون الشموع تنديدا بالمجزرة التي ارتكبتها إسرائيل بقتل من أفراد العائلة بينهم أطفال خلال الغارات الجوية على غزة,7108,154.0,161.0
307,117,154,Loaded Language,بقتل من أفراد العائلة بينهم أطفال,أطفال فلسطينيون يقفون فوق ركام منزل عائلة أبو حطب في قطاع غزة ويشعلون الشموع تنديدا بالمجزرة التي ارتكبتها إسرائيل بقتل من أفراد العائلة بينهم أطفال خلال الغارات الجوية على غزة,7108,115.0,148.0
308,87,94,Loaded Language,المجزرة,أطفال فلسطينيون يقفون فوق ركام منزل عائلة أبو حطب في قطاع غزة ويشعلون الشموع تنديدا بالمجزرة التي ارتكبتها إسرائيل بقتل من أفراد العائلة بينهم أطفال خلال الغارات الجوية على غزة,7108,85.0,92.0
309,26,30,Loaded Language,ركام,أطفال فلسطينيون يقفون فوق ركام منزل عائلة أبو حطب في قطاع غزة ويشعلون الشموع تنديدا بالمجزرة التي ارتكبتها إسرائيل بقتل من أفراد العائلة بينهم أطفال خلال الغارات الجوية على غزة,7108,26.0,30.0
310,56,64,Loaded Language,اعتداءات,آلاف الباكستانيين ينظمون مظاهرات لمناصرة فلسطين وإدانة اعتداءات الاحتلال الإسرائيلي على المسجد الأقصى وغزة,7109,55.0,63.0
311,65,73,Loaded Language,الاحتلال,آلاف الباكستانيين ينظمون مظاهرات لمناصرة فلسطين وإدانة اعتداءات الاحتلال الإسرائيلي على المسجد الأقصى وغزة,7109,64.0,72.0
312,65,84,Name calling/Labeling,الاحتلال الإسرائيلي,آلاف الباكستانيين ينظمون مظاهرات لمناصرة فلسطين وإدانة اعتداءات الاحتلال الإسرائيلي على المسجد الأقصى وغزة,7109,64.0,83.0
313,28,48,Exaggeration/Minimisation,تفجر الأمور مرة أخرى,وزير خارجية الأردن يحذر من تفجر الأمور مرة أخرى في حال تهجير إسرائيل سكان حي الشيخ جراح في القدس,7110,27.0,47.0
314,28,48,Loaded Language,تفجر الأمور مرة أخرى,وزير خارجية الأردن يحذر من تفجر الأمور مرة أخرى في حال تهجير إسرائيل سكان حي الشيخ جراح في القدس,7110,27.0,47.0
315,0,98,Appeal to fear/prejudice,وزير خارجية الأردن يحذر من تفجر الأمور مرة أخرى في حال تهجير إسرائيل سكان حي الشيخ جراح في القدس,وزير خارجية الأردن يحذر من تفجر الأمور مرة أخرى في حال تهجير إسرائيل سكان حي الشيخ جراح في القدس,7110,0.0,96.0
316,57,62,Loaded Language,تهجير,وزير خارجية الأردن يحذر من تفجر الأمور مرة أخرى في حال تهجير إسرائيل سكان حي الشيخ جراح في القدس,7110,55.0,60.0
317,38,49,Loaded Language,بجراح خطيرة,وسائل إعلام إسرائيلية إصابة إسرائيلي بجراح خطيرة وآخر بجراح متوسطة جراء عملية طعن في القدس,7111,37.0,48.0
318,38,49,Name calling/Labeling,بجراح خطيرة,وسائل إعلام إسرائيلية إصابة إسرائيلي بجراح خطيرة وآخر بجراح متوسطة جراء عملية طعن في القدس,7111,37.0,48.0
319,61,74,Name calling/Labeling,القدس المحتلة,عاجل الشرطة الإسرائيلية تطلق النار على فلسطيني في مدينة القدس المحتلة بزعم محاولته تنفيذ عملية طعن,7112,56.0,69.0
320,8,103,"Obfuscation, Intentional vagueness, Confusion",الشرطة الإسرائيلية تطلق النار على فلسطيني في مدينة القدس المحتلة بزعم محاولته تنفيذ عملية طعن,عاجل الشرطة الإسرائيلية تطلق النار على فلسطيني في مدينة القدس المحتلة بزعم محاولته تنفيذ عملية طعن,7112,5.0,98.0
321,27,38,Loaded Language,تطلق النار,عاجل الشرطة الإسرائيلية تطلق النار على فلسطيني في مدينة القدس المحتلة بزعم محاولته تنفيذ عملية طعن,7112,24.0,34.0
322,7,12,Loaded Language,تدمير,نأسف لتدمير برج الجلاء في غزة ضباط إسرائيليون رفيعو المستوى وصفوه ب الخطوة الخاطئة,7113,6.0,11.0
323,74,88,Name calling/Labeling,الخطوة الخاطئة,نأسف لتدمير برج الجلاء في غزة ضباط إسرائيليون رفيعو المستوى وصفوه ب الخطوة الخاطئة,7113,68.0,82.0
324,126,147,Loaded Language,وجه الاستيطان الحقيقي,سواء كنت أنا أو قردا أو زرافة لن يعود الفلسطينيون إلى هذا المنزل أبدا ما قصة المستوطن يعقوب الذي فضح جرائم الاحتلال وكشف وجه الاستيطان الحقيقي,7114,121.0,142.0
325,126,147,Name calling/Labeling,وجه الاستيطان الحقيقي,سواء كنت أنا أو قردا أو زرافة لن يعود الفلسطينيون إلى هذا المنزل أبدا ما قصة المستوطن يعقوب الذي فضح جرائم الاحتلال وكشف وجه الاستيطان الحقيقي,7114,121.0,142.0
326,106,120,Name calling/Labeling,جرائم الاحتلال,سواء كنت أنا أو قردا أو زرافة لن يعود الفلسطينيون إلى هذا المنزل أبدا ما قصة المستوطن يعقوب الذي فضح جرائم الاحتلال وكشف وجه الاستيطان الحقيقي,7114,101.0,115.0
327,67,72,Exaggeration/Minimisation,أبدا,سواء كنت أنا أو قردا أو زرافة لن يعود الفلسطينيون إلى هذا المنزل أبدا ما قصة المستوطن يعقوب الذي فضح جرائم الاحتلال وكشف وجه الاستيطان الحقيقي,7114,65.0,69.0
328,82,90,Name calling/Labeling,المستوطن,سواء كنت أنا أو قردا أو زرافة لن يعود الفلسطينيون إلى هذا المنزل أبدا ما قصة المستوطن يعقوب الذي فضح جرائم الاحتلال وكشف وجه الاستيطان الحقيقي,7114,77.0,85.0
329,102,120,Loaded Language,فضح جرائم الاحتلال,سواء كنت أنا أو قردا أو زرافة لن يعود الفلسطينيون إلى هذا المنزل أبدا ما قصة المستوطن يعقوب الذي فضح جرائم الاحتلال وكشف وجه الاستيطان الحقيقي,7114,97.0,115.0
330,0,174,Smears,النائب في البرلمان الأردني أسامة العجارمة يوجه الاتهامات للسلطات الأردنية بأنها قطعت الكهرباء عمدا لمنع مسيرة العشائر الأردنية من التوجه نحو الحدود نصرة للقضية الفلسطينية,النائب في البرلمان الأردني أسامة العجارمة يوجه الاتهامات للسلطات الأردنية بأنها قطعت الكهرباء عمدا لمنع مسيرة العشائر الأردنية من التوجه نحو الحدود نصرة للقضية الفلسطينية,7116,0.0,170.0
331,0,174,Appeal to authority,النائب في البرلمان الأردني أسامة العجارمة يوجه الاتهامات للسلطات الأردنية بأنها قطعت الكهرباء عمدا لمنع مسيرة العشائر الأردنية من التوجه نحو الحدود نصرة للقضية الفلسطينية,النائب في البرلمان الأردني أسامة العجارمة يوجه الاتهامات للسلطات الأردنية بأنها قطعت الكهرباء عمدا لمنع مسيرة العشائر الأردنية من التوجه نحو الحدود نصرة للقضية الفلسطينية,7116,0.0,170.0
332,47,56,Loaded Language,الاتهامات,النائب في البرلمان الأردني أسامة العجارمة يوجه الاتهامات للسلطات الأردنية بأنها قطعت الكهرباء عمدا لمنع مسيرة العشائر الأردنية من التوجه نحو الحدود نصرة للقضية الفلسطينية,7116,47.0,56.0
333,51,139,Smears,إسرائيل استثمرت كل إمكانياتها بهدف محو ذاكرة الفلسطينيين الذين يحملون الهوية الإسرائيلية,رئيس نادي الأسير الفلسطيني قدورة فارس ل عربي إسرائيل استثمرت كل إمكانياتها بهدف محو ذاكرة الفلسطينيين الذين يحملون الهوية الإسرائيلية لكن موجة التصعيد الأخير كشفت فشل تلك الخطط على نحو فجر موجة الاعتقالات الأخيرة,7117,45.0,133.0
334,145,157,Loaded Language,موجة التصعيد,رئيس نادي الأسير الفلسطيني قدورة فارس ل عربي إسرائيل استثمرت كل إمكانياتها بهدف محو ذاكرة الفلسطينيين الذين يحملون الهوية الإسرائيلية لكن موجة التصعيد الأخير كشفت فشل تلك الخطط على نحو فجر موجة الاعتقالات الأخيرة,7117,138.0,150.0
335,193,213,Loaded Language,فجر موجة الاعتقالات,رئيس نادي الأسير الفلسطيني قدورة فارس ل عربي إسرائيل استثمرت كل إمكانياتها بهدف محو ذاكرة الفلسطينيين الذين يحملون الهوية الإسرائيلية لكن موجة التصعيد الأخير كشفت فشل تلك الخطط على نحو فجر موجة الاعتقالات الأخيرة,7117,185.0,204.0
336,198,202,Repetition,موجة,رئيس نادي الأسير الفلسطيني قدورة فارس ل عربي إسرائيل استثمرت كل إمكانياتها بهدف محو ذاكرة الفلسطينيين الذين يحملون الهوية الإسرائيلية لكن موجة التصعيد الأخير كشفت فشل تلك الخطط على نحو فجر موجة الاعتقالات الأخيرة,7117,138.0,142.0
337,86,95,Loaded Language,محو ذاكرة,رئيس نادي الأسير الفلسطيني قدورة فارس ل عربي إسرائيل استثمرت كل إمكانياتها بهدف محو ذاكرة الفلسطينيين الذين يحملون الهوية الإسرائيلية لكن موجة التصعيد الأخير كشفت فشل تلك الخطط على نحو فجر موجة الاعتقالات الأخيرة,7117,80.0,89.0
338,59,80,Exaggeration/Minimisation,استثمرت كل إمكانياتها,رئيس نادي الأسير الفلسطيني قدورة فارس ل عربي إسرائيل استثمرت كل إمكانياتها بهدف محو ذاكرة الفلسطينيين الذين يحملون الهوية الإسرائيلية لكن موجة التصعيد الأخير كشفت فشل تلك الخطط على نحو فجر موجة الاعتقالات الأخيرة,7117,53.0,74.0
339,193,213,Exaggeration/Minimisation,فجر موجة الاعتقالات,رئيس نادي الأسير الفلسطيني قدورة فارس ل عربي إسرائيل استثمرت كل إمكانياتها بهدف محو ذاكرة الفلسطينيين الذين يحملون الهوية الإسرائيلية لكن موجة التصعيد الأخير كشفت فشل تلك الخطط على نحو فجر موجة الاعتقالات الأخيرة,7117,185.0,204.0
340,30,38,Loaded Language,العقوبات,وزارة خارجية إثيوبيا تقول إن العقوبات الأمريكية الأخيرة لن تردعها مؤكدة رفضها تدخل واشنطن في شؤونها الداخلية,7118,29.0,37.0
341,61,65,Loaded Language,تردع,وزارة خارجية إثيوبيا تقول إن العقوبات الأمريكية الأخيرة لن تردعها مؤكدة رفضها تدخل واشنطن في شؤونها الداخلية,7118,59.0,63.0
342,26,36,Name calling/Labeling,حماة النيل,تزامنا مع انطلاق مناورات حماة النيل أنباء عن وقوع اشتباكات بالأسلحة الثقيلة بين الجيشين السوداني والإثيوبي,7271,25.0,35.0
343,64,79,Loaded Language,الأسلحة الثقيلة,تزامنا مع انطلاق مناورات حماة النيل أنباء عن وقوع اشتباكات بالأسلحة الثقيلة بين الجيشين السوداني والإثيوبي,7271,60.0,75.0
344,12,34,Thought-terminating cliché,لا قوة قادرة على تعطيل,سد النهضة لا قوة قادرة على تعطيل الملء الثاني للسد الخارجية الإثيوبية عربي,7272,10.0,32.0
345,12,24,Exaggeration/Minimisation,لا قوة قادرة,سد النهضة لا قوة قادرة على تعطيل الملء الثاني للسد الخارجية الإثيوبية عربي,7272,10.0,22.0
346,12,70,Doubt,قاعدة جوية إماراتية غامضة في ميون اليمنية ما دلالات ذلك,تقرير خاص قاعدة جوية إماراتية غامضة في ميون اليمنية ما دلالات ذلك,7273,10.0,65.0
347,0,101,Smears,لمشاركته في تدمير المشافي وصناعة المخدرات الصحة العالمية تنتخب النظام السوري لعضويتها التنفيذية,لمشاركته في تدمير المشافي وصناعة المخدرات الصحة العالمية تنتخب النظام السوري لعضويتها التنفيذية,7274,0.0,95.0
348,12,25,Loaded Language,تدمير المشافي,لمشاركته في تدمير المشافي وصناعة المخدرات الصحة العالمية تنتخب النظام السوري لعضويتها التنفيذية,7274,12.0,25.0
349,27,41,Loaded Language,صناعة المخدرات,لمشاركته في تدمير المشافي وصناعة المخدرات الصحة العالمية تنتخب النظام السوري لعضويتها التنفيذية,7274,27.0,41.0
350,68,81,Name calling/Labeling,النظام السوري,لمشاركته في تدمير المشافي وصناعة المخدرات الصحة العالمية تنتخب النظام السوري لعضويتها التنفيذية,7274,63.0,76.0
351,68,81,Loaded Language,النظام السوري,لمشاركته في تدمير المشافي وصناعة المخدرات الصحة العالمية تنتخب النظام السوري لعضويتها التنفيذية,7274,63.0,76.0
352,26,30,Loaded Language,نسعد,أمير قطر نسعد في كل عام بتخريج نخبة من أبنائنا وبناتنا طلاب جامعة قطر ونحثهم على مواصلة بذل الجهد والعطاء للإسهام في تحقيق رؤية قطر الوطنية في بناء مستقبل مشرق لأجيال الحاضر والمستقبل,7275,9.0,13.0
353,118,124,Loaded Language,العطاء,أمير قطر نسعد في كل عام بتخريج نخبة من أبنائنا وبناتنا طلاب جامعة قطر ونحثهم على مواصلة بذل الجهد والعطاء للإسهام في تحقيق رؤية قطر الوطنية في بناء مستقبل مشرق لأجيال الحاضر والمستقبل,7275,99.0,105.0
354,48,52,Exaggeration/Minimisation,نخبة,أمير قطر نسعد في كل عام بتخريج نخبة من أبنائنا وبناتنا طلاب جامعة قطر ونحثهم على مواصلة بذل الجهد والعطاء للإسهام في تحقيق رؤية قطر الوطنية في بناء مستقبل مشرق لأجيال الحاضر والمستقبل,7275,31.0,35.0
355,126,202,Flag-waving,لإسهام في تحقيق رؤية قطر الوطنية في بناء مستقبل مشرق لأجيال الحاضر والمستقبل,أمير قطر نسعد في كل عام بتخريج نخبة من أبنائنا وبناتنا طلاب جامعة قطر ونحثهم على مواصلة بذل الجهد والعطاء للإسهام في تحقيق رؤية قطر الوطنية في بناء مستقبل مشرق لأجيال الحاضر والمستقبل,7275,107.0,183.0
356,31,71,Glittering generalities (Virtue),في كل عام بتخريج نخبة من أبنائنا وبناتنا,أمير قطر نسعد في كل عام بتخريج نخبة من أبنائنا وبناتنا طلاب جامعة قطر ونحثهم على مواصلة بذل الجهد والعطاء للإسهام في تحقيق رؤية قطر الوطنية في بناء مستقبل مشرق لأجيال الحاضر والمستقبل,7275,14.0,54.0
357,14,27,Exaggeration/Minimisation,الأكثر إلحاحا,بلينكن الأمر الأكثر إلحاحا هو تأمين المساعدات الإنسانية لغزة ثم إعادة الإعمار والبناء هناك الخليج أونلاين,7276,13.0,26.0
358,8,27,Name calling/Labeling,الأمر الأكثر إلحاحا,بلينكن الأمر الأكثر إلحاحا هو تأمين المساعدات الإنسانية لغزة ثم إعادة الإعمار والبناء هناك الخليج أونلاين,7276,7.0,26.0
359,0,89,Appeal to fear/prejudice,نتنياهو يتوعد الفصائل الفلسطينية بأن تدفع ثمنا باهظا وحماس مستعدة للتصعيد الإسرائيلي,نتنياهو يتوعد الفصائل الفلسطينية بأن تدفع ثمنا باهظا وحماس مستعدة للتصعيد الإسرائيلي,7277,0.0,84.0
360,70,89,Loaded Language,للتصعيد الإسرائيلي,نتنياهو يتوعد الفصائل الفلسطينية بأن تدفع ثمنا باهظا وحماس مستعدة للتصعيد الإسرائيلي,7277,66.0,84.0
361,71,78,Loaded Language,للتصعيد,نتنياهو يتوعد الفصائل الفلسطينية بأن تدفع ثمنا باهظا وحماس مستعدة للتصعيد الإسرائيلي,7277,66.0,73.0
362,71,89,Name calling/Labeling,للتصعيد الإسرائيلي,نتنياهو يتوعد الفصائل الفلسطينية بأن تدفع ثمنا باهظا وحماس مستعدة للتصعيد الإسرائيلي,7277,66.0,84.0
363,8,13,Loaded Language,يتوعد,نتنياهو يتوعد الفصائل الفلسطينية بأن تدفع ثمنا باهظا وحماس مستعدة للتصعيد الإسرائيلي,7277,8.0,13.0
364,38,53,Exaggeration/Minimisation,تدفع ثمنا باهظا,نتنياهو يتوعد الفصائل الفلسطينية بأن تدفع ثمنا باهظا وحماس مستعدة للتصعيد الإسرائيلي,7277,37.0,52.0
365,43,53,Exaggeration/Minimisation,ثمنا باهظا,نتنياهو يتوعد الفصائل الفلسطينية بأن تدفع ثمنا باهظا وحماس مستعدة للتصعيد الإسرائيلي,7277,42.0,52.0
366,57,70,Appeal to fear/prejudice,حماس مستعدة,نتنياهو يتوعد الفصائل الفلسطينية بأن تدفع ثمنا باهظا وحماس مستعدة للتصعيد الإسرائيلي,7277,54.0,65.0
367,8,13,Loaded Language,القمع,تقرير القمع الرقمي تواطئ عمالقة التكنولوجيا في قمع حريات الشعوب,7278,6.0,11.0
368,8,20,Name calling/Labeling,القمع الرقمي,تقرير القمع الرقمي تواطئ عمالقة التكنولوجيا في قمع حريات الشعوب,7278,6.0,18.0
369,23,28,Loaded Language,تواطئ,تقرير القمع الرقمي تواطئ عمالقة التكنولوجيا في قمع حريات الشعوب,7278,19.0,24.0
370,29,47,Name calling/Labeling,عمالقة التكنولوجيا,تقرير القمع الرقمي تواطئ عمالقة التكنولوجيا في قمع حريات الشعوب,7278,25.0,43.0
371,51,54,Loaded Language,قمع,تقرير القمع الرقمي تواطئ عمالقة التكنولوجيا في قمع حريات الشعوب,7278,8.0,11.0
372,51,54,Repetition,قمع,تقرير القمع الرقمي تواطئ عمالقة التكنولوجيا في قمع حريات الشعوب,7278,8.0,11.0
373,8,67,Smears,القمع الرقمي تواطئ عمالقة التكنولوجيا في قمع حريات الشعوب,تقرير القمع الرقمي تواطئ عمالقة التكنولوجيا في قمع حريات الشعوب,7278,6.0,63.0
